English,French,Italian,Spanish
identify,identifier,identificare,identificar
democrat,démocrate,democratico,demócrata
behavior,comportement,comportamento,conducta
day,journée,giorno,día
student,élève,alunno,estudiante
serve,servir,servire,atender
administration,administration,amministrazione,administración
arm,bras,braccio,brazo
death,décès,morte,muerte
officer,officier,ufficiale,oficial
fire,feu,fuoco,fuego
choose,choisir,scegliere,escoger
difference,différence,differenza,diferencia
make,fabriquer,fare,fabricar
movement,mouvement,movimento,movimiento
discussion,discussion,discussione,discusión
vote,voter,votazione,votar
staff,personnel,personale,personal
member,membre,membro,miembro
try,essayer,tentativo,tratar
respond,répondre,rispondere,responder
figure,chiffre,figura,figura
sister,sœur,sorella,hermana
work,travail,opera,trabajo
fine,amende,bene,multa
artist,artiste,artista,artista
buy,acheter,acquistare,comprar
daughter,fille,figlia,hija
government,gouvernement,governo,gobierno
law,loi,legge,ley
size,taille,dimensione,talla
second,seconde,secondo,segundo
body,corps,corpo,cuerpo
pick,prendre,scegliere,elegir
hurt,blesser,dolore,herir
church,église,chiesa,iglesia
factor,facteur,fattore,factor
deal,accord,affare,acuerdo
feel,ressentir,tatto,sentir
authority,autorité,autorità,autoridad
song,chanson,canzone,canción
eight,huit,otto,ocho
mind,écouter,mente,mente
support,support,sostegno,apoyo
too,trop,pure,también
single,célibataire,separare,único
seek,chercher,cercare,buscar
keep,donjon,mantenere,mantenerse
short,court,breve,corto
black,noir,nero,negro
result,résultat,risultato,resultado
nice,agréable,bello,bonito
pull,tirer,tiro,jalar
dead,morte,morto,muerto
show,afficher,mostrare,show
dollar,dollar,dollaro,dólar
goal,objectif,obbiettivo,meta
subject,matière,materia,sujeto
any,quelconque,qualunque,ningún
month,mois,mese,mes
strong,fort,forte,fuerte
south,sud,sud,sur
eye,œil,occhio,ojo
floor,étage,pavimento,piso
army,armée,esercito,ejército
reach,atteindre,portata,alcanzar
enough,assez,abbastanza,suficiente
effort,effort,sforzo,esfuerzo
ball,balle,sfera,bola
federal,fédéral,federale,federal
hear,écouter,ascoltare,escuchar
fill,remplir,riempire,llenar
very,très,molto,muy
next,suivant,prossimo,siguiente
brother,frère,fratello,hermano
upon,sur,su,al
past,passé,passato,pasado
performance,performance,prestazione,rendimiento
easy,facile,facile,fácil
matter,matière,questione,importar
minute,minute,minuto,minuto
truth,vérité,verità,verdad
high,haut,alto,alto
brain,cerveau,cervello,cerebro
friend,ami,amico,amigo
decide,décider,decidere,decidir
release,libération,pubblicazione,liberar
general,général,generale,general
project,projet,progetto,proyecto
plan,planifier,piano,plan
county,comté,contea,condado
challenge,défi,sfida,desafío
suggest,suggérer,suggerire,sugerir
society,société,società,sociedad
lot,parcelle,quantità,lote
send,envoyer,inviare,enviar
medical,médical,medico,médico
small,petit,piccolo,pequeña
nothing,rien,niente,nada
woman,femme,donna,mujer
all,tout,tutto,todo
child,enfant,bambino,niño
little,petit,poco,pequeño
network,réseau,rete,red
soon,bientôt,presto,pronto
west,ouest,ovest,oeste
shit,merde,merda,mierda
better,mieux,meglio,mejor
mention,mention,citare,mencionar
dream,rêver,sogno,sueño
interesting,intéressant,interessante,interesante
sound,sonner,suono,sonar
door,porte,porta,puerta
half,demi,metà,mitad
role,rôle,ruolo,papel
argument,argument,discussione,argumento
simple,facile,semplice,simple
university,université,università,universidad
market,marché,mercato,mercado
union,syndicat,unione,unión
home,domicile,casa,casa
form,former,modulo,formulario
laugh,rire,ridere,reír
ten,dix,dieci,diez
picture,image,foto,imagen
ground,terre,terra,tierra
sex,sexe,sesso,sexo
american,américain,americano,americano
economy,économie,economia,economía
art,art,arte,arte
response,réponse,risposta,respuesta
shot,coup,sparo,disparo
clear,dégager,chiaro,claro
poor,pauvre,povero,pobre
legal,légal,legale,legal
patient,patient,paziente,paciente
line,ligne,linea,línea
knowledge,connaissance,conoscenza,conocimiento
energy,énergie,energia,energía
recognize,reconnaître,riconoscere,reconocer
resource,ressource,risorsa,recurso
force,obliger,forza,fuerza
great,super,grande,estupendo
indicate,indiquer,indicare,indicar
love,aimer,amore,amor
employee,employé,dipendente,empleado
allow,autoriser,permettere,permitir
notice,remarquer,avviso,aviso
value,valeur,valore,valor
situation,situation,situazione,situación
claim,réclamer,reclamo,afirmar
car,auto,macchina,carro
number,numéro,numero,número
long,long,lungo,largo
lie,mensonge,menzogna,mentir
order,ordre,ordine,pedido
learn,apprendre,imparare,aprender
son,fils,figlio,hijo
risk,risque,rischio,riesgo
space,espace,spazio,espacio
completely,complètement,completamente,completamente
then,ensuite,poi,entonces
avoid,éviter,evitare,evitar
two,deux,due,dos
benefit,avantage,beneficio,beneficio
environment,environnement,ambiente,ambiente
group,grouper,gruppo,grupo
list,liste,elenco,lista
big,grand,grande,grande
system,système,sistema,sistema
memory,mémoire,memoria,memoria
part,partie,parte,parte
win,gagner,vincita,victoria
time,temps,volta,hora
town,ville,cittadina,pueblo
face,visage,viso,rostro
loss,perte,perdita,pérdida
also,aussi,anche,además
agency,agence,agenzia,agencia
skill,compétence,abilità,habilidad
paper,papier,carta,papel
character,personnage,carattere,personaje
street,rue,strada,calle
world,monde,mondo,mundo
well,bien,bene,bien
security,sécurité,sicurezza,seguridad
open,ouvert,aprire,abierto
hot,chaud,caldo,caliente
entire,tout,intero,completo
case,cas,astuccio,caso
and,et,e,y
early,tôt,presto,temprano
full,complet,pieno,completo
drive,conduire,unità,conducir
cut,couper,taglio,cortar
personal,personnel,personale,personal
year,an,anno,año
site,site,luogo,sitio
already,déjà,già,ya
bring,apporter,portare,traer
stop,arrêter,fermare,detener
only,seul,solo,solo
bank,banque,banca,banco
dad,papa,papà,padre
feeling,sentiment,sensazione,sentimiento
say,dire,dire,decir
pay,payer,pagare,pagar
break,pause,rottura,descanso
young,jeune,giovane,joven
question,question,domanda,pregunta
push,pousser,spingere,empujar
decade,décennie,decennio,década
first,première,primo,primero
community,communauté,comunità,comunidad
special,spécial,speciale,especial
example,exemple,esempio,ejemplo
wear,porter,indossare,llevar
night,nuit,notte,noche
opinion,avis,opinione,opinión
version,version,versione,versión
chance,chance,opportunità,oportunidad
building,immeuble,edificio,edificio
statement,déclaration,dichiarazione,declaración
wife,épouse,moglie,esposa
information,information,informazione,información
policy,politique,politica,política
still,toujours,ancora,aún
century,siècle,secolo,siglo
movie,film,film,película
race,course,corsa,raza
point,point,punto,punto
land,terre,terra,tierra
white,blanc,bianco,blanco
development,développement,sviluppo,desarrollo
scene,scène,scena,escena
doctor,docteur,medico,médico
raise,élever,aumentare,aumentar
significant,important,significativo,significativo
red,rouge,rosso,rojo
kind,gentil,tipo,amable
give,donner,dare,dar
leave,laisser,partire,salir
thing,chose,cosa,cosa
light,lumière,luce,ligero
nation,nation,nazione,nación
fact,fait,fatto,hecho
author,auteur,autore,autor
simply,simplement,semplicemente,simplemente
provide,fournir,fornire,proveer
good,bon,buono,bien
star,star,stella,estrella
approach,approcher,approccio,acercarse
sit,asseoir,sedersi,sentarse
effect,effet,effetto,efecto
cover,couverture,coperchio,cubrir
option,option,opzione,opción
cell,cellule,cellula,celda
language,langue,linguaggio,idioma
hard,dur,duro,duro
industry,industrie,industria,industria
problem,problème,problema,problema
dog,chien,cane,perro
together,ensemble,insieme,juntos
much,beaucoup,tanto,mucho
natural,naturel,naturale,natural
meet,rencontrer,incontrare,reunirse
hour,heure,ora,hora
kill,tuer,uccisione,matar
level,niveau,livello,nivel
save,sauver,salva,ahorrar
letter,lettre,lettera,carta
attention,attention,attenzione,atención
drop,tomber,gocciolare,soltar
start,début,inizio,comienzo
voice,voix,voce,voz
purpose,but,scopo,propósito
board,conseil,tavola,junta
official,officiel,ufficiale,oficial
test,test,test,prueba
college,université,università,universidad
receive,recevoir,ricevere,recibir
difficult,difficile,difficile,difícil
activity,activité,attività,actividad
see,voir,vedere,ver
prove,prouver,dimostrare,probar
article,article,articolo,artículo
if,si,se,si
strategy,stratégie,strategia,estrategia
rise,augmenter,salita,aumento
