English,French,Spanish,Italian,Russian
apple,pomme,manzana,mela,яблоко
banana,banane,banana,banana,банан
car,voiture,auto,auto,машина
cat,chat,gato,gatto,кот
dog,chien,perro,cane,собака
fish,poisson,pez,pescare,рыба
hat,chapeau,sombrero,cappello,шапка
kite,cerf-volant,cometa,aquilone,летающий змей
lemon,citron,limón,limone,лимон
monkey,singe,mono,scimmia,обезьяна
orange,orange,naranja,arancia,апельсин
pencil,crayon,lápiz,matita,карандаш
rabbit,lapin,conejo,coniglio,кролик
shoe,chaussure,zapato,scarpa,туфля
table,tableau,mesa,tavolo,стол
umbrella,parapluie,paraguas,ombrello,зонтик
violin,violon,violín,violino,скрипка
wallet,portefeuille,billetera,portafoglio,кошелек
zebra,zèbre,cebra,zebra,зебра
ant,fourmi,hormiga,formica,муравей
book,livre,libro,libro,книга
duck,canard,pato,anatra,утка
feather,plume,pluma,piuma,перо
grape,raisin,uva,uva,виноград
hammer,marteau,martillo,martello,молоток
ice,glace,hielo,ghiaccio,лед
jacket,veste,chaqueta,giacca,куртка
key,clé,llave,chiave,ключ
lamp,lampe,lámpara,lampada,лампа
mouse,souris,ratón,topo,мышь
nail,clou,clavo,chiodo,ноготь
onion,oignon,cebolla,cipolla,лук
pear,poire,pera,Pera,груша
rose,rose,rosa,rosa,Роза
sock,chaussette,calcetín,calzino,носок
tiger,tigre,tigre,tigre,тигр
vase,vase,florero,vaso,ваза
wagon,wagon,vagón,carro,фургон
bee,abeille,abeja,ape,пчела
clock,horloge,reloj,orologio,Часы
drum,tambour,tambor,tamburo,барабан
egg,?uf,huevo,uovo,яйцо
flower,fleur,flor,fiore,цветок
glove,gant,guante,guanto,перчатка
ink,encre,tinta,inchiostro,чернила
jug,cruche,jarra,brocca,кувшин
knife,couteau,cuchillo,coltello,нож
ladder,échelle,escalera,scala,лестница
moon,lune,luna,luna,луна
nest,nid,nido,nido,гнездо
owl,hibou,búho,gufo,сова
pillow,oreiller,almohada,cuscino,подушка
rug,tapis,alfombra,tappeto,коврик
snake,serpent,serpiente,serpente,змея
tree,arbre,árbol,albero,дерево
walnut,noyer,nuez,noce,грецкий орех
yogurt,yaourt,yogur,yogurt,йогурт
apron,tablier,delantal,grembiule,фартук
ball,balle,pelota,palla,мяч
candle,bougie,vela,candela,свеча
donkey,?ne,burro,asino,осел
lion,lion,león,leone,лев
muffin,muffin,mollete,focaccina,кекс
necklace,collier,collar,collana,ожерелье
octopus,pieuvre,pulpo,polpo,осьминог
peacock,paon,pavo real,pavone,павлин
snail,escargot,caracol,lumaca,улитка
turtle,tortue,tortuga,tartaruga,черепаха
watermelon,pastèque,sandía,anguria,арбуз
arm,bras,brazo,braccio,рука
bone,os,hueso,osso,кость
chair,chaise,silla,sedia,стул
door,porte,puerta,porta,дверь
run,courir,correr,correre,бегать
jump,saut,saltar,salto,Прыгать
walk,marcher,caminar,camminare,ходить
talk,parler,hablar,parlare,разговаривать
eat,manger,comer,mangiare,есть
sleep,dormir,dormir,sonno,спать
swim,nager,nadar,nuotare,плавать
read,lire,leer,leggere,читать
write,écrire,escribir,scrivere,писать
sing,chanter,cantar,cantare,петь
dance,danse,bailar,danza,танцевать
laugh,rire,reír,ridere,смех
cry,pleurer,llorar,gridare,плакать
smile,sourire,sonrisa,sorriso,улыбка
play,jouer,jugar,giocare,играть
work,travail,trabajar,lavoro,работа
study,étude,estudiar,studio,изучать
think,pense,pensar,pensare,думать
breathe,respirer,respirar,respirare,дышать
love,amour,amar,amore,любовь
hate,détester,odiar,odio,ненавидеть
hug,c?lin,abrazo,abbraccio,обнимать
kiss,baiser,beso,bacio,целовать
cook,cuisiner,cocinar,cucinare,готовить
drink,boire,beber,bere,напиток
drive,conduire,conducir,guidare,водить машину
fly,voler,volar,volare,летать
wait,attendez,esperar,aspettare,ждать
listen,écouter,escuchar,ascoltare,слушать
hear,entendre,escuchar,ascoltare,слышать
see,voir,ver,vedere,видеть
watch,montre,mirar,orologio,смотреть
touch,touche,tocar,tocco,трогать
feel,sentir,sentir,Tatto,чувствовать
taste,go?t,gusto,gusto,вкус
smell,odeur,oler,odore,запах
speak,parler,hablar,parlare,говорить
argue,argumenter,argumentar,litigare,спорить
fight,lutte,luchar,combattimento,драться
forgive,pardonner,perdonar,perdonare,простить
apologize,s'excuser,disculparse,scusa,извиняться
shout,crier,gritar,gridare,кричать
whisper,chuchoter,susurro,sussurro,шепот
create,créer,crear,creare,создавать
destroy,détruire,destruir,distruggere,разрушать
build,construire,construir,costruire,строить
demolish,démolir,demoler,demolire,снести
plant,usine,planta,pianta,растение
harvest,récolte,cosecha,raccolto,урожай
recycle,recycler,reciclar,riciclare,перерабатывать
organize,organiser,organizar,organizzare,организовать
decorate,décorer,Decorar,decorare,украшать
draw,dessiner,dibujar,disegno,рисовать
paint,peinture,pintar,colore,краска
design,conception,dise?o,progetto,дизайн
photograph,photographier,fotografía,fotografia,фотография
model,modèle,modelo,modello,модель
sculpt,sculpter,esculpir,scolpire,лепить
carve,tailler,esculpir,intagliare,вырезать
sketch,esquisser,bosquejo,schizzo,эскиз
program,programme,programa,programma,программа
code,code,código,codice,код
calculate,calculer,calcular,calcolare,вычислить
solve,résoudre,resolver,risolvere,решать
analyze,analyser,analizar,analizzare,анализировать
dream,rêve,sue?o,sogno,мечтать
imagine,imaginer,imaginar,immaginare,представлять себе
explore,explorer,explorar,esplorare,исследовать
discover,découvrir,descubrir,scoprire,обнаружить
invent,inventer,inventar,inventare,изобретать
innovate,innover,innovar,innovare,вводить новшества
explore,explorer,explorar,Esplorare,исследовать
find,trouver,encontrar,trovare,находить
lose,perdre,perder,perdere,терять
win,gagner,ganar,vincita,победить
compete,rivaliser,competir,competere,конкурировать
cooperate,coopérer,cooperar,cooperare,сотрудничать
help,aide,ayuda,aiuto,помощь
hinder,entraver,impedir,ostacolare,мешать
assist,assister,asistir,assistere,помогать
resist,résister,resistir,resistere,сопротивляться
obey,obéir,cumplir,obbedire,подчиняться
disobey,désobéir,desobedecer,disobbedire,не подчиняться
trust,confiance,confianza,fiducia,доверять
doubt,doute,duda,dubbio,сомневаться
admire,admirer,admirar,ammirare,восхищаться
envy,envie,envidiar,invidia,завидовать
respect,respect,respeto,rispetto,уважать
insult,insulte,insulto,insulto,оскорблять
criticize,critiquer,criticar,criticare,критиковать
praise,louer,elogio,lode,хвалить
worship,culte,culto,culto,поклонение
meditate,méditer,meditar,meditare,медитировать
pray,prier,orar,pregare,молиться
question,question,pregunta,domanda,вопрос
tiny,minuscule,diminuto,minuscolo,крошечный
happy,heureux,feliz,Contento,счастливый
beautiful,beau,hermoso,Bellissimo,красивый
intelligent,intelligent,inteligente,intelligente,разумный
funny,dr?le,divertido,divertente,забавный
delicious,délicieux,delicioso,delizioso,вкусный
colorful,coloré,vistoso,colorato,красочный
peaceful,pacifique,pacífico,tranquillo,мирный
curious,curieux,curioso,curioso,любопытный
sleepy,somnolent,somnoliento,assonnato,сонный
strong,fort,fuerte,forte,сильный
old,vieux,viejo,vecchio,старый
quiet,calme,tranquilo,Tranquillo,тихий
small,petit,peque?o,piccolo,маленький
rainy,pluvieux,lluvioso,piovoso,дождливый
shiny,brillant,brillante,brillante,блестящий
soft,doux,suave,morbido,мягкий
wet,mouillé,húmedo,Bagnato,влажный
bright,brillant,brillante,luminoso,яркий
hot,chaud,caliente,caldo,горячий
cold,froid,frío,Freddo,холодный
